1, 2
1, 2
1, 2
3, 4
3, 2
3, 2
3, 2
3, 5
3, 6
1, 2
1, 2
1, 2
3, 7
3, 2
3, 2
3, 2
3, 7
3, 8
1, 2
1, 2
1, 2
3, 9
3, 2
3, 2
3, 2
3, 5
3, 10
1, 2
1, 2
1, 2
3, 9
3, 11
3, 12
3, 13
3, 14
3, 12
1, 2
1, 2
1, 2
3, 15
3, 2
3, 2
3, 2
3, 5
3, 16
1, 2
1, 2
1, 2
3, 4
3, 17
3, 18
3, 19
3, 5
3, 20
1, 2
1, 2
1, 2
3, 9
3, 2
3, 2
3, 21
3, 5
3, 22
1, 2
1, 2
1, 2
3, 23
3, 24
3, 2
3, 25
3, 5
3, 26
1, 2
1, 2
1, 2
3, 27
3, 28
3, 29
3, 30
3, 5
3, 26
1, 2
1, 2
1, 2
3, 9
3, 2
3, 31
3, 2
3, 5
3, 32
1, 2
1, 2
1, 2
3, 33
3, 28
3, 2
3, 34
3, 5
3, 35
1, 2
1, 2
1, 2
3, 36
3, 2
3, 37
3, 2
3, 38
3, 39
1, 2
1, 2
1, 2
3, 40
3, 2
3, 2
3, 2
3, 5
3, 41
1, 2
1, 2
1, 2
3, 4
3, 42
3, 43
3, 44
3, 5
3, 43
1, 2
1, 2
1, 2
3, 45
3, 46
3, 47
3, 48
3, 49
3, 50
1, 2
1, 2
1, 2
3, 23
3, 28
3, 43
3, 30
3, 51
3, 43
1, 2
1, 2
1, 2
3, 52
3, 2
3, 2
3, 2
3, 49
3, 53
1, 2
1, 49
1, 54
3, 55
3, 56
3, 57
3, 58
3, 5
3, 59
1, 2
1, 2
1, 2
3, 49
3, 2
3, 2
3, 2
3, 49
3, 60
1, 2
1, 2
1, 2
3, 61
3, 46
3, 31
3, 2
3, 61
3, 32
1, 2
1, 2
1, 2
3, 5
3, 2
3, 2
3, 2
3, 5
3, 43
1, 2
1, 2
1, 2
3, 23
3, 2
3, 43
3, 2
3, 62
3, 43
1, 2
1, 2
1, 2
3, 4
3, 28
3, 2
3, 2
3, 5
3, 63
1, 2
1, 2
1, 2
3, 64
3, 2
3, 2
3, 2
3, 5
3, 16
1, 2
1, 2
1, 2
3, 7
3, 2
3, 2
3, 2
3, 7
3, 65
1, 2
1, 2
1, 2
3, 9
3, 66
3, 67
3, 2
3, 9
3, 68
1, 2
1, 2
1, 2
3, 69
3, 2
3, 70
3, 2
3, 5
3, 16
1, 2
1, 2
1, 2
3, 71
3, 28
3, 2
3, 2
3, 72
3, 73
1, 2
1, 2
1, 2
3, 74
3, 28
3, 2
3, 75
3, 76
3, 63
1, 2
1, 2
1, 2
3, 15
3, 77
3, 2
3, 32
3, 5
3, 32
1, 2
1, 2
1, 2
3, 78
3, 79
3, 80
3, 81
3, 82
3, 83
1, 2
1, 2
1, 2
3, 4
3, 2
3, 2
3, 2
3, 5
3, 84
1, 2
1, 2
1, 2
3, 5
3, 2
3, 2
3, 2
3, 5
3, 85
1, 2
1, 2
1, 86
3, 87
3, 2
3, 88
3, 2
3, 62
3, 89
1, 2
1, 2
1, 2
3, 90
3, 2
3, 91
3, 2
3, 5
3, 91
1, 2
1, 2
1, 2
3, 5
3, 2
3, 2
3, 2
3, 5
3, 92
1, 2
1, 2
1, 2
3, 93
3, 2
3, 31
3, 2
3, 5
3, 94
1, 2
1, 2
1, 95
3, 90
3, 2
3, 96
3, 58
3, 5
3, 10
1, 2
1, 2
1, 97
3, 9
3, 77
3, 41
3, 2
3, 9
3, 98
1, 2
1, 2
1, 2
3, 99
3, 100
3, 101
3, 102
3, 103
3, 101
1, 2
1, 2
1, 2
3, 104
3, 56
3, 105
3, 106
3, 38
3, 107
1, 2
1, 2
1, 2
3, 4
3, 2
3, 2
3, 2
3, 5
3, 6
1, 2
1, 2
1, 2
3, 74
3, 108
3, 18
3, 109
3, 5
3, 110
1, 2
1, 2
1, 2
3, 9
3, 2
3, 111
3, 2
3, 5
3, 112
1, 2
1, 2
1, 113
3, 14
3, 79
3, 114
3, 115
3, 5
3, 113
1, 2
1, 2
1, 2
3, 116
3, 2
3, 2
3, 2
3, 5
3, 85
1, 2
1, 2
1, 2
3, 74
3, 79
3, 110
3, 117
3, 5
3, 110
1, 2
1, 2
1, 2
3, 74
3, 28
3, 118
3, 115
3, 5
3, 118
1, 2
1, 2
1, 2
3, 119
3, 120
3, 2
3, 2
3, 5
3, 121
1, 2
1, 2
1, 2
3, 4
3, 2
3, 2
3, 2
3, 5
3, 113
1, 2
1, 2
1, 2
3, 122
3, 2
3, 2
3, 2
3, 5
3, 43
1, 2
1, 2
1, 2
3, 123
3, 2
3, 2
3, 2
3, 49
3, 124
1, 2
1, 2
1, 125
3, 90
3, 77
3, 126
3, 127
3, 5
3, 128
1, 2
1, 2
1, 2
3, 123
3, 2
3, 2
3, 2
3, 5
3, 129
1, 2
1, 2
1, 2
3, 116
3, 2
